#Eixo_y_Medida_1
0.018 0.036 0.054 0.072 0.090 0.108 0.126 0.144 0.162 0.180

#Eixo_x_Medida_1
0.08770 0.16871 0.24786 0.32359 0.40118 0.4787 0.55647 0.61214 0.69309 0.79277

#Eixo_x_Medida_2
0.08780 0.16971 0.24786 0.32359 0.40018 0.4747 0.55647 0.61314 0.69809 0.79377

#Eixo_x_Medida_3
0.08670 0.16971 0.24786 0.32659 0.40518 0.4757 0.55447 0.61714 0.69909 0.79477

#Eixo_x_Medida_4
0.08970 0.16571 0.24786 0.32559 0.40218 0.4777 0.55347 0.61614 0.69609 0.79977

#Eixo_x_Medida_5
0.08370 0.16771 0.24786 0.32459 0.40418 0.4797 0.55747 0.61514 0.69309 0.79677
